"","Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Êtes vous ...","Quel âge avez-vous ?","Vous êtes ...","Veuillez préciser votre niveau d'étude","Par votre milieu professionnel","Par votre milieu scolaire, étudiant","Par vos proches","Par hasard et au gré de vos navigations sur Internet","Par Wikipédia","Autre...19","Veuillez préciser...20","Dans le cadre scolaire à la maison (devoirs, révisions etc.)","Dans le cadre scolaire en classe (en cours, club etc.)","Pour ma culture générale","Pour le travail","Pour mon simple loisir","Autre...26","Veuillez préciser...27","Quel est votre degré de contribution ?","Qu'est ce qui vous a motivé à contribuer pour la première fois ?","Je me plais au sein de la communauté","J'ai des responsabilités","Les domaines abordés m'intéressent","J'aime contribuer au projet Vikidia","Autre...34","Veuillez préciser...35","De la patrouille","Des ajouts sur la partie technique","Des corrections orthographiques ou typographiques","Des travaux de catégorisation et d'ajout de portail","Des créations ou améliorations d'articles","De l'aide aux nouveaux utilisateurs","Autre...42","Veuillez préciser...43","Patrouilleur","Administrateur","Bureaucrate","Vérificateur d'IP","Nuker","Plus maintenant","Trouvez-vous les articles de Vikidia accessibles ?","Les articles y sont plus faciles à comprendre","Vikidia est plus adaptée à mon niveau/âge","Je préfère l'ambiance au sein de la communauté vikidienne","La communauté vikidienne est de plus petite taille","Je consulte peu Vikidia, je suis surtout contributeur","Je préfère Wikipédia","Autre...57","Veuillez préciser...58","Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?","Quel est votre niveau de confiance en ce qui concerne la fiabilité des articles de Vikidia ?","Que pensez-vous des pages d'aide ?","Veuillez préciser...62","La qualité des articles","L'accessibilité des sujets traités","La qualité et la pertinence des illustrations","La diversité des sujets traités","La qualité synthaxique et typographique","Le projet Vikidia en général","Non","Il m'arrive de parler de mes découvertes sur l'encyclopédie","Je recommande le site à mes proches","Autre...72","Veuillez préciser...73","Selon vous, comment Vikidia est-elle perçue par le grand public ?","Veuillez préciser...75","Pensez vous que les Wikipédiens vous infantilisent à cause de votre contribution à Vikidia ?","Vikidia a-t-elle des répercutions positives ou négatives sur votre vie ?","Avez-vous déjà fait un don à Vikidia ?","Pourquoi ?...79","Pourquoi ?...80","En quelle année avez-vous rejoint la communauté Vikidienne ?","Comment avez-vous jugé votre accueil sur Vikidia ?","Veuillez préciser...83","Vous sentez-vous suffisamment intégré à la communauté vikidienne ?","Veuillez préciser...85","Comment évaluez vous votre participation aux canaux de discussion ?","Discord","Les Bavardages","IRC","Les pages de discussion","Autres canaux de discussion","Veuillez préciser...92","Avez-vous des points d'amélioration à suggérer pour le projet Vikidia ? (Réponse optionnelle)","Avez-vous des points d'amélioration sur le fonctionnement de l'association Vikidia ? (Réponse optionnelle)","is_contrib","activite","annee","motivations_contrib","alternatives"
"1",2,9212630,"13/07/2021 - 10:34","13/07/2021 - 10:34","13/07/2021 - 10:34",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,"X",NA,"X",NA,NA,"A contribué une ou deux fois","Le fait que vikidia et une plate-forme pratique cela mérité un don","X",NA,"X","X",NA,NA,"X",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","Très accessibles",NA,NA,"X","X",NA,NA,NA,NA,"Sans wikipédia","Les articles de Vikidia sont tout à fait fiables","Je n'en ai jamais eu besoin",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Positive","Oui","Parce que j'aime cette plateforme",NA,"Il y a peu de temps à peu près un mois de m'avoir","Excellent",NA,"Oui",NA,"Il m'arrive de répondre aux messages","X","X",NA,NA,NA,NA,"Juste peut-être le fait d'ajouter des articles ou en faire une application","C'est parfait voilà juste l'application ajouter ça serait bien pour Android","1","Élève au collège",NA,NA,"sans wikipedia"
"2",3,9212638,"13/07/2021 - 10:35","13/07/2021 - 10:35","13/07/2021 - 10:35",0,"0.0.0.0",0,"Anonymous","masculin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,"X",NA,NA,"Contribue une fois par semaine ou plus",NA,"X","X","X","X",NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,"X",NA,NA,NA,NA,"Plutôt accessibles",NA,NA,"X",NA,NA,NA,NA,NA,"Sur Wikipédia","Les articles de Vikidia sont plutôt fiables","Je pense qu'elles pourraient être améliorées","Beaucoup n'ont pas bougé depuis longtemps","Plutôt bonne","Plutôt bonne","Moyenne","Très bonne","Plutôt bonne","Très bonne",NA,"X","X",NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Positives","Oui","Pour la pérenité du site sans publicité",NA,"2008","Bon",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X",NA,"X",NA,NA,NA,NA,"1","En activité","2008",NA,"sur wikipedia"
"3",4,9212644,"13/07/2021 - 10:35","13/07/2021 - 10:35","13/07/2021 - 10:35",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,"X",NA,"X","X",NA,NA,"X",NA,"X",NA,"X",NA,NA,"Contribue une fois par semaine ou plus","Les fautes d'orthographe et de typographie","X","X",NA,"X",NA,NA,"X","X","X","X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,"Plutôt accessibles","X","X","X","X","X",NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Elles sont suffisamment claires",NA,"Plutôt bonne","Plutôt bonne","Très bonne","Moyenne","Plutôt bonne","Très bonne",NA,NA,NA,"X","J'en parle vaguement à mes proches et amis.","Vikidia devrait gagner en popularité",NA,"Non","Je passe plus de temps devant un écran, mais j'ai toujours quelque chose à faire quand je m'ennuie, et n'améliore ma culture générale.","Non",NA,"J'ai activé un gadget appelé """"HideDonationBox"""", qui enlève le lien pour faire des dons. De ce fait, j'oublie d'en faire.","2021","Excellent",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X",NA,"X",NA,NA,NA,NA,"1","Élève au collège","2021",NA,"wikipedia"
"4",5,9212763,"13/07/2021 - 10:46","13/07/2021 - 10:46","13/07/2021 - 10:46",0,"0.0.0.0",0,"Anonymous","masculin","Entre 19 et 25 ans","Étudiant, élève","Études supérieures",NA,"X",NA,"X",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,"Contribue une fois par semaine ou plus","Volonté de faire quelque chose qui me dépasse quand j'avais 12 ans. ça me paraissait fou de pouvoir, moi, créer un article !",NA,"X",NA,"X",NA,NA,"X",NA,"X",NA,"X","X",NA,NA,"X","X","X","X",NA,NA,"Plutôt accessibles","X",NA,"X","X","X","X",NA,NA,"Wikipédia","Je me méfie des informations que je trouve sur Vikidia","Je pense qu'elles pourraient être améliorées","Beaucoup de pages ne sont pas a jour. Certaines pages d'aides sur les règles sont très flou (les CAA principalement) ce qui peut être source de conflit. Enfin je pense que les vérificateurs d'IP devraient avoir un règlement plus strict et clair, car actuellement en cas de """"problème"""" ce sont aux CU de le résoudre, les superviseurs chargés de les controler n'ont jamais rien fait","Plutôt mauvaise","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Très formateur ! J'ai pu m'améliorer en expression écrite, et j'ai appris à travailler en équipe.","Oui","Pour adhérer à l'association, et soutenir le projet.",NA,"2013","Laisse à désirer","Je pense que certains adultes (dont un toujours présent) ont abusés de leur """"supériorité"""" pour me faire du mal psychologiquement et me provoquer car je fût un jeune contributeur difficile. Je remercie Astirmays qui a fait parti de ceux qui ont contrés ces abus, et qui ont réellement compris qu'on ne pouvait pas attendre d'un jeune ado une maturité, et que c'est principalement l'intention de départ (qui était d'améliorer 1 article) qui compte, et qu'il faut ensuite voir à moyen terme l'évolution","Oui",NA,"Je suis très actif sur les canaux","X","X",NA,"X",NA,NA,"Améliorer la fiabilité des articles, car actuellement je considère la fiabilité du contenu de Vikidia comme douteuse. Il faudrait imposer le sourçage. Aussi, il faudrait préciser les règles, et que ce soit fait par la communauté, pas par deux contributeurs dans un coin de page de discussion qui décident de créer une règle sortie du chapeau, comme c'est hélas souvent le cas.","Il faudrait améliorer la transparence de l'association envers les adherents et le public, offrir des avantages plus conséquents aux adherents ainsi que les solliciter plusieurs fois par ans.","1","Étudiant","2013",NA,"wikipedia"
"5",6,9212978,"13/07/2021 - 11:07","13/07/2021 - 11:07","13/07/2021 - 11:07",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,"Contribue une fois par semaine ou plus",NA,"X","X","X","X",NA,NA,"X",NA,"X","X",NA,"X","X","De la maintenance","X","X",NA,NA,NA,NA,"Très accessibles","X",NA,"X",NA,NA,NA,NA,NA,"Nul part, car je trouve souvent les informations que je veux sur Vikidia","Les articles de Vikidia sont tout à fait fiables","Elles sont suffisamment claires",NA,"Très bonne","Plutôt bonne","Très bonne","Très bonne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Autre","Vikidia est trop peu connue et c'est dommage","Oui","positives","Non",NA,"je suis mineur",NA,"Excellent",NA,"Oui",NA,"Je suis plutôt actif sur les canaux",NA,"X",NA,"X",NA,NA,"Non","Non","1","Élève au collège",NA,NA,"nul part, car je trouve souvent les informations que je veux sur vikidia"
"6",7,9213450,"13/07/2021 - 12:01","13/07/2021 - 12:01","13/07/2021 - 12:01",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Études supérieures",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"Contribue une fois par semaine ou plus","La correction de fautes","X",NA,NA,"X",NA,NA,"X","X","X","X","X","X",NA,NA,NA,"X",NA,NA,NA,NA,"Très accessibles","X",NA,"X","X",NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Elles sont suffisamment claires",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Non","Oui","Pour soutenir le projet",NA,"2017","Bon",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X",NA,NA,NA,NA,NA,NA,"1","Étudiant","2017",NA,"wikipedia"
"7",8,9213462,"13/07/2021 - 12:03","13/07/2021 - 12:03","13/07/2021 - 12:03",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"Contribue plusieurs fois par mois","Les pages de discussion",NA,"X",NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,"Moyennement accessibles",NA,NA,NA,NA,"X","X",NA,NA,"Dicoado.org","Les informations trouvées sur Vikidia sont à prendre avec précaution","Elles sont trop complexes",NA,"Moyenne","Plutôt bonne","Moyenne","Plutôt bonne","Moyenne","Moyenne",NA,"X",NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Oui","Moins de temps pour contribuer sur les autres projets","Oui","Pour soutenir les projets pour enfants",NA,"2014","Moyen",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X",NA,"X",NA,NA,NA,NA,"1","En activité","2014",NA,"dicoado.org"
"8",9,9213471,"13/07/2021 - 12:04","13/07/2021 - 12:04","13/07/2021 - 12:04",0,"0.0.0.0",0,"Anonymous","masculin","Entre 26 et 35 ans","En activité",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,"X",NA,NA,"Contribue une fois par semaine ou plus","Un Vikidien demandait l'aide d'un Wikipedien expérimenté et je croyais au potentiel du projet",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,NA,"X","Administration système des serveurs de Vikidia","X","X","X","X","X",NA,"Plutôt accessibles","X",NA,"X",NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Je pense qu'elles pourraient être améliorées","Certaines pages d'aides sont obsolètes, les outils/process ayant évolué au fil du temps","Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Très bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Positives : Implication forte à un projet avec du potentiel auquel je crois","Oui","Je crois dans le projet, et je sais que la trésorerie n'est pas toujours au beau fixe",NA,"2009","Bon",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X",NA,NA,NA,NA,"Faire rentrer du sang neuf afin que les rédacteurs soient autant que possible du même âge que le public cible","Capacité organisationnelle, gestion du temps (pour la plupart des membres, il s'agit d'une première expérience associative), qualité et régularité de la communication sur les réseaux","1","En activité","2009",NA,"wikipedia"
"9",10,9213536,"13/07/2021 - 12:14","13/07/2021 - 12:14","13/07/2021 - 12:14",0,"0.0.0.0",0,"Anonymous","masculin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,"Contribue une fois par semaine ou plus","Le désir de m'impliquer dans un projet utile","X","X","X","X",NA,NA,"X","X","X","X","X","X",NA,NA,"X","X","X","X",NA,NA,"Plutôt accessibles","X",NA,"X","X",NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Elles sont trop complexes",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Très bonne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Ouverture d'esprit","Oui","Adhésions + dons pour aider le projet",NA,"2009","Excellent",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X","X","X",NA,NA,NA,NA,"1","En activité","2009",NA,"wikipedia"
"10",11,9213694,"13/07/2021 - 12:35","13/07/2021 - 12:35","13/07/2021 - 12:35",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,"Contribue plusieurs fois par mois","Apprendre des choses en contribuant",NA,NA,NA,"X",NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","Plutôt accessibles","X",NA,NA,"X",NA,NA,NA,NA,"Wikipedia et les livres","Les articles de Vikidia sont plutôt fiables","Elles sont suffisamment claires",NA,"Plutôt bonne","Très bonne","Très bonne","Moyenne","Très bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Oui","Positif","Oui","Pour payer les serveurs",NA,"2019","Bon",NA,"Oui",NA,"Je suis plutôt actif sur les canaux","X","X","X","X",NA,NA,"Mettre à jour quelques articles, en effet dans certains articles concernant les pays les noms des dirigeants n’étaient pas à jour.",NA,"1","Élève au collège","2019",NA,"wikipedia et les livres"
